CIFAR-10
BIM, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,0.0100,1.9083,1,20.0,0.01,False
l2,0.0198,3.5714,10,20.0,0.002,False
l2,0.0199,3.5608,2,20.0,0.01,False
l2,0.0200,3.5075,1,20.0,0.02,False
l2,0.0297,5.8742,3,20.0,0.01,False
l2,0.0300,5.6183,1,20.0,0.03,False
l2,0.0394,8.1557,20,20.0,0.002,False
l2,0.0394,8.0597,4,20.0,0.01,False
l2,0.0395,7.9638,2,20.0,0.02,False
l2,0.0400,7.6972,1,20.0,0.04,False
l2,0.0490,10.6290,5,20.0,0.01,False
l2,0.0585,13.5288,30,20.0,0.002,False
l2,0.0585,13.3475,6,20.0,0.01,False
l2,0.0586,12.9851,3,20.0,0.02,False
l2,0.0588,12.6652,2,20.0,0.03,False
l2,0.0679,16.1940,7,20.0,0.01,False
l2,0.0772,19.1258,8,20.0,0.01,False
l2,0.0773,19.4456,40,20.0,0.002,False
l2,0.0773,18.6674,4,20.0,0.02,False
l2,0.0777,17.7932,2,20.0,0.04,False
l2,0.0864,21.6844,9,20.0,0.01,False
l2,0.0865,20.5117,3,20.0,0.03,False
l2,0.0954,23.6780,5,20.0,0.02,False
l2,0.0954,24.2111,10,20.0,0.01,False
l2,0.0955,24.8721,50,20.0,0.002,False
l2,0.0999,19.5203,1,20.0,0.1,False
l2,0.1129,28.3582,6,20.0,0.02,False
l2,0.1130,27.7399,4,20.0,0.03,False
l2,0.1132,29.7228,60,20.0,0.002,False
l2,0.1132,27.0896,3,20.0,0.04,False
l2,0.1299,32.3987,7,20.0,0.02,False
l2,0.1303,33.7740,70,20.0,0.002,False
l2,0.1382,33.1770,5,20.0,0.03,False
l2,0.1464,35.4691,8,20.0,0.02,False
l2,0.1464,33.8380,4,20.0,0.04,False
l2,0.1469,36.9829,80,20.0,0.002,False
l2,0.1622,37.6013,6,20.0,0.03,False
l2,0.1623,38.3369,9,20.0,0.02,False
l2,0.1629,39.8294,90,20.0,0.002,False
l2,0.1774,39.1898,5,20.0,0.04,False
l2,0.1776,40.8102,10,20.0,0.02,False
l2,0.1779,41.6418,20,20.0,0.01,False
l2,0.1783,42.4094,100,20.0,0.002,False
l2,0.1810,34.9147,2,20.0,0.1,False
l2,0.1848,41.1940,7,20.0,0.03,False
l2,0.1998,29.0725,1,20.0,0.2,False
l2,0.2061,43.2409,6,20.0,0.04,False
l2,0.2062,44.0832,8,20.0,0.03,False
l2,0.2076,45.9808,120,20.0,0.002,False
l2,0.2267,46.3753,9,20.0,0.03,False
l2,0.2329,46.4072,7,20.0,0.04,False
l2,0.2461,48.8166,10,20.0,0.03,False
l2,0.2477,50.2452,30,20.0,0.01,False
l2,0.2484,50.8742,150,20.0,0.002,False
l2,0.2486,43.7633,3,20.0,0.1,False
l2,0.2510,51.2260,152,20.0,0.002,False
l2,0.2536,51.5139,154,20.0,0.002,False
l2,0.2562,51.9083,156,20.0,0.002,False
l2,0.2583,49.4670,8,20.0,0.04,False
l2,0.2588,52.1535,158,20.0,0.002,False
l2,0.2614,52.4733,160,20.0,0.002,False
l2,0.2640,52.8358,162,20.0,0.002,False
l2,0.2665,53.1663,164,20.0,0.002,False
l2,0.2691,53.4435,166,20.0,0.002,False
l2,0.2717,53.6994,168,20.0,0.002,False
l2,0.2742,53.9339,170,20.0,0.002,False
l2,0.2767,54.1898,172,20.0,0.002,False
l2,0.2793,54.5309,174,20.0,0.002,False
l2,0.2818,54.7228,176,20.0,0.002,False
l2,0.2822,52.3454,9,20.0,0.04,False
l2,0.2843,54.9787,178,20.0,0.002,False
l2,0.2868,55.2239,180,20.0,0.002,False
l2,0.2893,55.4584,182,20.0,0.002,False
