CIFAR-10
FGSM, untargeted
dist, l2, asr, eps, target
l2,0.0995,12.8998,0.0018,False
l2,0.1051,13.6567,0.0019,False
l2,0.1106,14.4456,0.002,False
l2,0.1106,14.4456,0.002,False
l2,0.1161,15.1599,0.0021,False
l2,0.1161,15.1599,0.0021,False
l2,0.1217,15.7569,0.0022,False
l2,0.1217,15.7569,0.0022,False
l2,0.1272,16.3966,0.0023,False
l2,0.1272,16.3966,0.0023,False
l2,0.1327,17.1962,0.0024,False
l2,0.1327,17.1962,0.0024,False
l2,0.1383,17.9104,0.0025,False
l2,0.1383,17.9104,0.0025,False
l2,0.1438,18.4861,0.0026,False
l2,0.1438,18.4861,0.0026,False
l2,0.1493,19.1471,0.0027,False
l2,0.1493,19.1471,0.0027,False
l2,0.1548,19.6908,0.0028,False
l2,0.1548,19.6908,0.0028,False
l2,0.1604,20.2665,0.0029,False
l2,0.1604,20.2665,0.0029,False
l2,0.1659,20.6503,0.003,False
l2,0.1659,20.6503,0.003,False
l2,0.1714,21.2580,0.0031,False
l2,0.1714,21.2580,0.0031,False
l2,0.1769,21.5458,0.0032,False
l2,0.1769,21.5458,0.0032,False
l2,0.1825,22.1215,0.0033,False
l2,0.1825,22.1215,0.0033,False
l2,0.1880,22.5267,0.0034,False
l2,0.1880,22.5267,0.0034,False
l2,0.1935,22.9318,0.0035,False
l2,0.1935,22.9318,0.0035,False
l2,0.1991,23.5075,0.0036,False
l2,0.1991,23.5075,0.0036,False
l2,0.2046,23.8273,0.0037,False
l2,0.2046,23.8273,0.0037,False
l2,0.2101,24.1578,0.0038,False
l2,0.2101,24.1578,0.0038,False
l2,0.2156,24.5522,0.0039,False
l2,0.2156,24.5522,0.0039,False
l2,0.2212,24.9680,0.004,False
l2,0.2212,24.9680,0.004,False
l2,0.2212,24.9680,0.004,False
l2,0.2267,25.3731,0.0041,False
l2,0.2267,25.3731,0.0041,False
l2,0.2322,25.7569,0.0042,False
l2,0.2322,25.7569,0.0042,False
l2,0.2377,26.0874,0.0043,False
l2,0.2377,26.0874,0.0043,False
l2,0.2432,26.3859,0.0044,False
l2,0.2432,26.3859,0.0044,False
l2,0.2487,26.5991,0.0045,False
l2,0.2487,26.5991,0.0045,False
l2,0.2542,26.8870,0.0046,False
l2,0.2542,26.8870,0.0046,False
l2,0.2597,27.1535,0.0047,False
l2,0.2597,27.1535,0.0047,False
l2,0.2652,27.3987,0.0048,False
l2,0.2652,27.3987,0.0048,False
l2,0.2707,27.6652,0.0049,False
l2,0.2707,27.6652,0.0049,False
l2,0.2762,27.8358,0.005,False
l2,0.2762,27.8358,0.005,False
l2,0.2818,28.0810,0.0051,False
l2,0.2818,28.0810,0.0051,False
l2,0.2873,28.3156,0.0052,False
l2,0.2873,28.3156,0.0052,False
l2,0.2928,28.5394,0.0053,False
l2,0.2928,28.5394,0.0053,False
l2,0.2983,28.8380,0.0054,False
l2,0.2983,28.8380,0.0054,False
l2,0.3038,28.9765,0.0055,False
l2,0.3038,28.9765,0.0055,False
l2,0.3093,29.1684,0.0056,False
l2,0.3093,29.1684,0.0056,False
l2,0.3148,29.3497,0.0057,False
l2,0.3148,29.3497,0.0057,False
l2,0.3203,29.6162,0.0058,False
l2,0.3203,29.6162,0.0058,False
l2,0.3259,29.8614,0.0059,False
l2,0.3259,29.8614,0.0059,False
l2,0.3314,29.9893,0.006,False
l2,0.3865,31.6525,0.007,False
l2,0.3976,31.8550,0.0072,False
l2,0.4417,32.6546,0.008,False
l2,0.4472,32.7505,0.0081,False
l2,0.4527,32.8465,0.0082,False
l2,0.4582,32.9104,0.0083,False
l2,0.4637,33.0064,0.0084,False
l2,0.4692,33.1450,0.0085,False
l2,0.4967,33.5928,0.009,False
l2,0.5077,33.6674,0.0092,False
l2,0.5518,34.2004,0.01,False
l2,0.5793,34.5842,0.0105,False
l2,0.5903,34.7228,0.0107,False
l2,0.5958,34.8081,0.0108,False
l2,0.6068,35.0000,0.011,False
l2,0.6344,35.3092,0.0115,False
l2,0.6619,35.6716,0.012,False
l2,0.6893,35.8849,0.0125,False
l2,0.6948,35.9168,0.0126,False
l2,0.7003,36.0128,0.0127,False
l2,0.7168,36.2154,0.013,False
l2,0.7443,36.4179,0.0135,False
l2,0.7718,36.7058,0.014,False
l2,0.7992,36.8977,0.0145,False
l2,0.8267,37.1109,0.015,False
l2,0.8542,37.2601,0.0155,False
l2,0.8817,37.4200,0.016,False
l2,0.9036,37.5800,0.0164,False
l2,0.9091,37.5906,0.0165,False
l2,0.9146,37.6226,0.0166,False
l2,0.9366,37.8145,0.017,False
l2,0.9641,38.0597,0.0175,False
l2,0.9915,38.2196,0.018,False
l2,1.0190,38.3582,0.0185,False
l2,1.0464,38.4435,0.019,False
l2,1.0739,38.6034,0.0195,False
l2,1.1013,38.8060,0.02,False
l2,1.1013,38.8060,0.02,False
l2,1.1288,38.9765,0.0205,False
l2,1.1562,39.0618,0.021,False
l2,1.1836,39.1578,0.0215,False
l2,1.1891,39.1898,0.0216,False
l2,1.1946,39.1898,0.0217,False
l2,1.2110,39.3177,0.022,False
l2,1.2385,39.3710,0.0225,False
l2,1.2659,39.5416,0.023,False
l2,1.2933,39.6482,0.0235,False
l2,1.3207,39.7761,0.024,False
l2,1.3481,39.8827,0.0245,False
l2,1.3755,40.0000,0.025,False
l2,1.4029,40.1066,0.0255,False
l2,1.4303,40.2665,0.026,False
l2,1.4577,40.3945,0.0265,False
l2,1.4851,40.5117,0.027,False
l2,1.5125,40.5544,0.0275,False
l2,1.5398,40.6290,0.028,False
l2,1.5672,40.6610,0.0285,False
l2,1.5945,40.8209,0.029,False
l2,1.6218,40.9488,0.0295,False
l2,1.6492,41.0981,0.03,False
l2,1.6765,41.2047,0.0305,False
l2,1.7039,41.3113,0.031,False
l2,1.7312,41.5245,0.0315,False
l2,1.7585,41.6951,0.032,False
l2,1.7858,41.8017,0.0325,False
l2,1.8131,41.9936,0.033,False
l2,1.8405,42.0682,0.0335,False
l2,1.8677,42.1535,0.034,False
l2,1.8951,42.3454,0.0345,False
l2,1.9224,42.4307,0.035,False
l2,1.9498,42.5586,0.0355,False
l2,1.9771,42.8038,0.036,False
l2,2.0043,42.9211,0.0365,False
l2,2.0316,43.1130,0.037,False
l2,2.0589,43.1557,0.0375,False
l2,2.0863,43.3262,0.038,False
l2,2.1136,43.5075,0.0385,False
l2,2.1408,43.6674,0.039,False
l2,2.1681,43.8273,0.0395,False
l2,2.1955,43.9765,0.04,False
l2,2.1955,43.9765,0.04,False
l2,2.2226,44.1471,0.0405,False
l2,2.2499,44.3923,0.041,False
l2,2.2771,44.6588,0.0415,False
l2,2.3043,44.8188,0.042,False
l2,2.3316,44.9893,0.0425,False
l2,2.3589,45.1066,0.043,False
