CIFAR-10
PGD, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,0.0100,1.9723,1000,0.01,0.002,False
l2,0.0100,1.9723,400,0.01,0.02,False
l2,0.0100,1.9723,600,0.01,0.02,False
l2,0.0100,1.9723,800,0.01,0.02,False
l2,0.0200,3.6567,1000,0.02,0.002,False
l2,0.0200,3.6461,400,0.02,0.02,False
l2,0.0200,3.6461,600,0.02,0.02,False
l2,0.0200,3.6461,800,0.02,0.02,False
l2,0.0300,6.1407,1000,0.03,0.002,False
l2,0.0300,6.1407,400,0.03,0.02,False
l2,0.0300,6.1407,600,0.03,0.02,False
l2,0.0300,6.1407,800,0.03,0.02,False
l2,0.0400,8.7100,1000,0.04,0.002,False
l2,0.0400,8.7100,400,0.04,0.02,False
l2,0.0400,8.7100,600,0.04,0.02,False
l2,0.0400,8.7100,800,0.04,0.02,False
l2,0.0500,11.8230,1000,0.05,0.002,False
l2,0.0500,11.8230,800,0.05,0.002,False
l2,0.0500,11.8230,600,0.05,0.002,False
l2,0.0500,11.8230,400,0.05,0.02,False
l2,0.0500,11.8230,600,0.05,0.02,False
l2,0.0500,11.8230,800,0.05,0.02,False
l2,0.0500,11.8230,1000,0.05,0.02,False
l2,0.0600,15.0853,1000,0.06,0.002,False
l2,0.0600,15.0959,400,0.06,0.02,False
l2,0.0600,15.1066,600,0.06,0.02,False
l2,0.0600,15.1066,800,0.06,0.02,False
l2,0.0700,18.7740,1000,0.07,0.002,False
l2,0.0700,18.8166,400,0.07,0.02,False
l2,0.0700,18.8166,600,0.07,0.02,False
l2,0.0700,18.8166,800,0.07,0.02,False
l2,0.0800,22.5480,1000,0.08,0.002,False
l2,0.0800,22.5693,400,0.08,0.02,False
l2,0.0800,22.5800,600,0.08,0.02,False
l2,0.0800,22.5906,800,0.08,0.02,False
l2,0.0900,26.5778,1000,0.09,0.002,False
l2,0.0900,26.5991,400,0.09,0.02,False
l2,0.0900,26.5991,600,0.09,0.02,False
l2,0.0900,26.5778,800,0.09,0.02,False
l2,0.1000,30.3092,1000,0.1,0.002,False
l2,0.1000,30.3092,800,0.1,0.002,False
l2,0.1000,30.2559,600,0.1,0.002,False
l2,0.1000,30.3198,1200,0.1,0.002,False
