ImageNet, 1000
BIM, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,0.2876,0.4172,1,50.0,0.005,False
l2,0.5747,0.5563,2,50.0,0.005,False
l2,0.8617,0.8345,3,50.0,0.005,False
l2,1.1485,1.1127,4,50.0,0.005,False
l2,1.4353,1.2517,5,50.0,0.005,False
l2,1.7216,1.5299,6,50.0,0.005,False
l2,2.0064,1.9471,7,50.0,0.005,False
l2,2.2928,2.6426,8,50.0,0.005,False
l2,2.5786,3.3380,9,50.0,0.005,False
l2,2.8642,3.6161,10,50.0,0.005,False
l2,2.8745,3.6161,1,50.0,0.05,False
l2,3.4344,4.4506,12,50.0,0.005,False
l2,4.0045,5.1460,14,50.0,0.005,False
l2,4.5722,5.9805,16,50.0,0.005,False
l2,5.1413,7.0932,18,50.0,0.005,False
l2,5.7068,8.4840,20,50.0,0.005,False
l2,5.7157,8.2058,2,50.0,0.05,False
l2,6.2743,9.3185,22,50.0,0.005,False
l2,6.8388,9.7357,24,50.0,0.005,False
l2,7.4033,10.8484,26,50.0,0.005,False
l2,7.9678,11.2656,28,50.0,0.005,False
l2,8.5279,11.9611,30,50.0,0.005,False
l2,8.5367,11.8220,3,50.0,0.05,False
l2,9.0892,12.7955,32,50.0,0.005,False
l2,9.6514,13.9082,34,50.0,0.005,False
l2,10.2124,14.6036,36,50.0,0.005,False
l2,10.7709,15.1599,38,50.0,0.005,False
l2,11.3289,15.1599,40,50.0,0.005,False
l2,11.3334,15.1599,4,50.0,0.05,False
l2,11.8856,15.5772,42,50.0,0.005,False
l2,12.4456,16.4117,44,50.0,0.005,False
l2,13.0027,17.9416,46,50.0,0.005,False
l2,13.5589,18.3588,48,50.0,0.005,False
l2,14.1073,19.4715,50,50.0,0.005,False
l2,14.1132,18.9152,5,50.0,0.05,False
l2,14.6587,20.0278,52,50.0,0.005,False
l2,15.2129,21.4186,54,50.0,0.005,False
l2,15.7668,22.1140,56,50.0,0.005,False
l2,16.3150,23.6439,58,50.0,0.005,False
l2,16.8614,23.9221,6,50.0,0.05,False
l2,16.8661,23.9221,60,50.0,0.005,False
l2,18.2416,26.2865,65,50.0,0.005,False
l2,19.6011,27.9555,7,50.0,0.05,False
l2,19.6064,28.5118,70,50.0,0.005,False
l2,20.9555,30.1808,75,50.0,0.005,False
l2,22.2935,31.5716,8,50.0,0.05,False
l2,22.3043,31.8498,80,50.0,0.005,False
l2,23.6460,32.9624,85,50.0,0.005,False
l2,24.9663,34.3533,9,50.0,0.05,False
l2,24.9838,34.2142,90,50.0,0.005,False
l2,26.3250,36.3004,95,50.0,0.005,False
l2,27.6364,37.6912,10,50.0,0.05,False
l2,27.6574,37.9694,100,50.0,0.005,False
l2,32.9137,45.4798,12,50.0,0.05,False
l2,38.0959,51.5994,14,50.0,0.05,False
l2,40.6500,53.2684,15,50.0,0.05,False
l2,43.2046,56.3282,16,50.0,0.05,False
l2,48.2566,63.2823,18,50.0,0.05,False
l2,53.2153,67.8720,20,50.0,0.05,False
l2,53.2756,68.1502,200,50.0,0.005,False
l2,58.1144,70.9318,22,50.0,0.05,False
l2,60.5549,73.1572,23,50.0,0.05,False
l2,62.9766,74.5480,24,50.0,0.05,False
l2,67.7867,78.5814,26,50.0,0.05,False
l2,72.5068,81.3630,28,50.0,0.05,False
l2,77.1932,83.1711,30,50.0,0.05,False
l2,77.3327,83.5883,300,50.0,0.005,False
l2,79.5114,84.0056,31,50.0,0.05,False
l2,81.8233,84.7010,32,50.0,0.05,False
l2,86.4160,86.5090,34,50.0,0.05,False
l2,90.9786,88.5953,36,50.0,0.05,False
l2,95.4280,89.4298,38,50.0,0.05,False
l2,99.8704,90.6815,40,50.0,0.05,False
l2,100.1126,90.5424,400,50.0,0.005,False
l2,102.0589,90.9597,41,50.0,0.05,False
l2,104.2527,91.3769,42,50.0,0.05,False
l2,108.6151,92.6287,44,50.0,0.05,False
l2,112.9127,93.7413,46,50.0,0.05,False
l2,117.1646,94.5758,48,50.0,0.05,False
l2,119.3061,95.4103,49,50.0,0.05,False
l2,121.3854,95.5494,50,50.0,0.05,False
l2,121.7771,95.5494,500,50.0,0.005,False
l2,125.5761,95.8275,52,50.0,0.05,False
l2,129.7101,96.5229,54,50.0,0.05,False
l2,133.8759,97.0793,56,50.0,0.05,False
l2,137.8747,97.3574,58,50.0,0.05,False
l2,139.9009,97.4965,59,50.0,0.05,False
l2,141.9297,97.4965,60,50.0,0.05,False
l2,142.5195,97.4965,600,50.0,0.005,False
l2,151.9609,97.6356,65,50.0,0.05,False
l2,157.9021,97.6356,68,50.0,0.05,False
l2,159.8630,97.6356,69,50.0,0.05,False
l2,161.8335,97.6356,70,50.0,0.05,False
l2,162.6573,97.6356,700,50.0,0.005,False
l2,171.5427,97.7747,75,50.0,0.05,False
l2,177.3225,97.7747,78,50.0,0.05,False
l2,179.2395,97.7747,79,50.0,0.05,False
l2,181.1305,97.9138,80,50.0,0.05,False
l2,182.2833,97.9138,800,50.0,0.005,False
l2,190.6793,98.0529,85,50.0,0.05,False
l2,196.3513,98.3310,88,50.0,0.05,False
l2,198.2319,98.3310,89,50.0,0.05,False
l2,200.1036,98.3310,90,50.0,0.05,False
l2,201.6121,98.3310,900,50.0,0.005,False
l2,201.9943,98.4701,91,50.0,0.05,False
l2,203.8836,98.4701,92,50.0,0.05,False
l2,205.7409,98.4701,93,50.0,0.05,False
l2,207.6124,98.4701,94,50.0,0.05,False
l2,209.4606,98.4701,95,50.0,0.05,False
l2,209.4671,98.4701,95,50.0,0.05,False
l2,211.3244,98.4701,96,50.0,0.05,False
l2,213.1960,98.4701,97,50.0,0.05,False
l2,215.0195,98.4701,98,50.0,0.05,False
l2,216.8635,98.4701,99,50.0,0.05,False
l2,218.7105,98.4701,100,50.0,0.05,False
l2,218.7272,98.4701,100,50.0,0.05,False
l2,220.5435,98.4701,101,50.0,0.05,False
l2,220.6385,98.4701,1000,50.0,0.005,False
l2,222.4159,98.4701,102,50.0,0.05,False
l2,224.3037,98.6092,103,50.0,0.05,False
l2,226.1277,98.6092,104,50.0,0.05,False
l2,227.9455,98.6092,105,50.0,0.05,False
