ImageNet, 1000
PGD, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,5.7509,8.4840,500,0.1,0.05,False
l2,5.7509,8.4840,1000,0.1,0.05,False
l2,11.5020,16.1335,500,0.2,0.05,False
l2,11.5020,16.1335,1000,0.2,0.05,False
l2,17.2536,26.1474,500,0.3,0.05,False
l2,17.2536,26.1474,1000,0.3,0.05,False
l2,23.0050,35.0487,1000,0.4,0.05,False
l2,23.0051,35.0487,500,0.4,0.05,False
l2,28.7558,45.0626,1000,0.5,0.05,False
l2,28.7559,44.7844,500,0.5,0.05,False
l2,34.5070,53.6857,500,0.6,0.05,False
l2,34.5070,53.6857,1000,0.6,0.05,False
l2,40.2592,60.2225,500,0.7,0.05,False
l2,40.2592,60.5007,1000,0.7,0.05,False
l2,46.0109,67.4548,500,0.8,0.05,False
l2,46.0109,67.5939,1000,0.8,0.05,False
l2,51.7630,72.8790,500,0.9,0.05,False
l2,51.7630,73.0181,1000,0.9,0.05,False
l2,57.5152,78.8595,1000,1.0,0.05,False
l2,57.5154,78.7204,500,1.0,0.05,False
l2,63.2675,83.0320,500,1.1,0.05,False
l2,63.2675,83.4492,1000,1.1,0.05,False
l2,69.0197,85.9527,1000,1.2,0.05,False
l2,69.0198,85.5355,500,1.2,0.05,False
l2,74.7720,88.8734,1000,1.3,0.05,False
l2,74.7723,88.3171,500,1.3,0.05,False
l2,80.5249,89.5688,500,1.4,0.05,False
l2,80.5249,90.2643,1000,1.4,0.05,False
l2,86.2774,92.6287,500,1.5,0.05,False
l2,86.2774,93.3241,1000,1.5,0.05,False
l2,92.0303,94.2976,500,1.6,0.05,False
l2,92.0304,94.4367,1000,1.6,0.05,False
l2,97.7831,95.4103,1000,1.7,0.05,False
l2,97.7833,95.2712,500,1.7,0.05,False
l2,103.5362,96.3839,1000,1.8,0.05,False
l2,103.5363,96.2448,500,1.8,0.05,False
l2,109.2893,96.3839,500,1.9,0.05,False
l2,109.2894,96.3839,1000,1.9,0.05,False
l2,115.0425,96.8011,500,2.0,0.05,False
l2,115.0425,96.8011,1000,2.0,0.05,False
l2,143.8091,98.1919,500,2.5,0.05,False
l2,143.8097,98.3310,1000,2.5,0.05,False
l2,172.5779,98.6092,500,3.0,0.05,False
l2,172.5783,98.6092,1000,3.0,0.05,False
l2,201.3492,98.7483,500,3.5,0.05,False
l2,201.3499,98.8873,1000,3.5,0.05,False
l2,230.1220,98.8873,500,4.0,0.05,False
l2,230.1227,98.8873,1000,4.0,0.05,False
l2,258.8953,99.0264,500,4.5,0.05,False
l2,258.8965,99.0264,1000,4.5,0.05,False
l2,287.6713,99.0264,500,5.0,0.05,False
l2,287.6725,99.1655,1000,5.0,0.05,False
l2,575.4823,99.3046,1000,10.0,0.05,False
l2,575.5628,99.1655,500,10.0,0.05,False
l2,1151.4786,99.1655,1000,20.0,0.05,False
l2,1151.9556,99.1655,500,20.0,0.05,False
l2,1727.8572,99.3046,1000,30.0,0.05,False
l2,1728.4360,99.3046,500,30.0,0.05,False
l2,2304.2906,99.4437,1000,40.0,0.05,False
l2,2304.8506,99.4437,500,40.0,0.05,False
l2,2880.7218,99.4437,1000,50.0,0.05,False
l2,2881.2375,99.4437,500,50.0,0.05,False

ImageNet, 1000
PGD, targeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,11.5066,0.1001,500,0.2,0.05,True
l2,11.5066,0.1001,1000,0.2,0.05,True
l2,23.0039,0.3003,1000,0.4,0.05,True
l2,23.0040,0.3003,500,0.4,0.05,True
l2,34.5021,1.3013,500,0.6,0.05,True
l2,34.5037,1.5015,1000,0.6,0.05,True
l2,46.0053,4.1041,1000,0.8,0.05,True
l2,46.0054,3.9039,500,0.8,0.05,True
l2,57.5091,7.8078,500,1.0,0.05,True
l2,57.5100,8.1081,1000,1.0,0.05,True
l2,69.0121,15.2152,500,1.2,0.05,True
l2,69.0122,15.5155,1000,1.2,0.05,True
l2,80.5157,22.1221,1000,1.4,0.05,True
l2,80.5181,21.1211,500,1.4,0.05,True
l2,92.0233,30.1301,500,1.6,0.05,True
l2,92.0241,32.6326,1000,1.6,0.05,True
l2,103.5247,39.6396,500,1.8,0.05,True
l2,103.5303,41.9419,1000,1.8,0.05,True
l2,115.0294,50.0501,500,2.0,0.05,True
l2,115.0324,52.1522,1000,2.0,0.05,True
l2,126.5344,60.3604,1000,2.2,0.05,True
l2,126.5355,58.6587,500,2.2,0.05,True
l2,138.0414,67.5676,1000,2.4,0.05,True
l2,138.0442,65.0651,500,2.4,0.05,True
l2,149.5385,74.4745,1000,2.6,0.05,True
