MNIST
PGD, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,0.1000,0.3722,200,0.1,0.02,False
l2,0.1000,0.3722,400,0.1,0.02,False
l2,0.1000,0.3722,600,0.1,0.02,False
l2,0.1000,0.3722,800,0.1,0.02,False
l2,0.1000,0.3722,1000,0.1,0.02,False
l2,0.1000,0.3722,1200,0.1,0.02,False
l2,0.1000,0.3722,1600,0.1,0.02,False
l2,0.1000,0.3722,400,0.1,0.002,False
l2,0.1000,0.3722,600,0.1,0.002,False
l2,0.1000,0.3722,800,0.1,0.002,False
l2,0.1000,0.3722,1000,0.1,0.002,False
l2,0.1000,0.3520,400,0.1,0.2,False
l2,0.1000,0.3520,600,0.1,0.2,False
l2,0.1000,0.3520,800,0.1,0.2,False
l2,0.1000,0.3520,1000,0.1,0.2,False
l2,0.1500,0.5733,1600,0.15,0.02,False
l2,0.2000,0.7443,400,0.2,0.02,False
l2,0.2000,0.7443,800,0.2,0.02,False
l2,0.2000,0.7443,1000,0.2,0.02,False
l2,0.2000,0.7443,1200,0.2,0.02,False
l2,0.2000,0.7443,1600,0.2,0.02,False
l2,0.3000,1.3277,200,0.3,0.02,False
l2,0.3000,1.3277,400,0.3,0.02,False
l2,0.3000,1.3277,800,0.3,0.02,False
l2,0.3000,1.3277,1000,0.3,0.02,False
l2,0.3000,1.3277,1200,0.3,0.02,False
l2,0.3000,1.3277,1600,0.3,0.02,False
l2,0.4000,2.0519,400,0.4,0.02,False
l2,0.4000,2.0519,800,0.4,0.02,False
l2,0.4000,2.0519,1000,0.4,0.02,False
l2,0.4000,2.0519,1200,0.4,0.02,False
l2,0.4000,2.0519,1600,0.4,0.02,False
l2,0.4500,2.3537,1600,0.45,0.02,False
l2,0.5000,2.7962,200,0.5,0.02,False
l2,0.5000,2.7962,400,0.5,0.02,False
l2,0.5000,2.8063,800,0.5,0.02,False
l2,0.5000,2.8063,1000,0.5,0.02,False
l2,0.5000,2.8063,1200,0.5,0.02,False
l2,0.5000,2.8063,1600,0.5,0.02,False
l2,0.6000,4.0535,400,0.6,0.02,False
l2,0.6000,4.0535,600,0.6,0.02,False
l2,0.6000,4.0535,800,0.6,0.02,False
l2,0.6000,4.0535,1000,0.6,0.02,False
l2,0.6000,4.0535,1200,0.6,0.02,False
l2,0.6000,4.0535,1600,0.6,0.02,False
l2,0.6000,2.9572,400,0.6,0.002,False
l2,0.6000,3.6109,600,0.6,0.002,False
l2,0.6000,3.8926,800,0.6,0.002,False
l2,0.6000,3.9831,1000,0.6,0.002,False
l2,0.6000,4.0032,400,0.6,0.2,False
l2,0.6000,4.0032,600,0.6,0.2,False
l2,0.6000,4.0032,800,0.6,0.2,False
l2,0.6000,4.0133,1000,0.6,0.2,False
l2,0.7000,5.7333,200,0.7,0.02,False
l2,0.7000,5.7534,400,0.7,0.02,False
l2,0.7000,5.7534,800,0.7,0.02,False
l2,0.7000,5.7534,1000,0.7,0.02,False
l2,0.7000,5.7534,1200,0.7,0.02,False
l2,0.7000,5.7534,1600,0.7,0.02,False
l2,0.7500,7.0006,1600,0.75,0.02,False
l2,0.8000,8.0064,400,0.8,0.02,False
l2,0.8000,8.0165,800,0.8,0.02,False
l2,0.8000,8.0165,1000,0.8,0.02,False
l2,0.8000,8.0266,1200,0.8,0.02,False
l2,0.8000,8.0266,1600,0.8,0.02,False
l2,0.9000,10.7926,200,0.9,0.02,False
l2,0.9000,10.9133,400,0.9,0.02,False
l2,0.9000,10.9133,800,0.9,0.02,False
l2,0.9000,10.9133,1000,0.9,0.02,False
l2,0.9000,10.9133,1200,0.9,0.02,False
l2,0.9000,10.9133,1600,0.9,0.02,False
l2,1.0000,15.1881,400,1.0,0.02,False
l2,1.0000,15.2183,600,1.0,0.02,False
l2,1.0000,15.2384,800,1.0,0.02,False
l2,1.0000,15.2585,1000,1.0,0.02,False
l2,1.0000,15.2484,1200,1.0,0.02,False
l2,1.0000,15.2585,1600,1.0,0.02,False
l2,1.0500,17.6122,1600,1.05,0.02,False
l2,1.1000,20.3380,400,1.1,0.02,False
l2,1.1000,20.3883,600,1.1,0.02,False
l2,1.1000,20.3983,800,1.1,0.02,False
l2,1.1000,20.3983,1000,1.1,0.02,False
l2,1.1000,20.4084,1200,1.1,0.02,False
l2,1.1000,20.4084,1600,1.1,0.02,False
l2,1.1000,5.9445,400,1.1,0.002,False
l2,1.1000,10.1489,600,1.1,0.002,False
l2,1.1000,13.7900,800,1.1,0.002,False
l2,1.1000,20.4084,400,1.1,0.2,False
l2,1.1000,20.4184,600,1.1,0.2,False
l2,1.1000,20.4184,800,1.1,0.2,False
l2,1.1000,20.4084,1000,1.1,0.2,False
l2,1.2000,25.5582,200,1.2,0.02,False
l2,1.2000,26.4233,400,1.2,0.02,False
l2,1.2000,26.5339,600,1.2,0.02,False
l2,1.2000,26.6043,800,1.2,0.02,False
l2,1.2000,26.6445,1000,1.2,0.02,False
l2,1.2000,26.6445,1200,1.2,0.02,False
l2,1.2000,26.6445,1600,1.2,0.02,False
l2,1.3000,33.1221,400,1.3,0.02,False
l2,1.3000,33.4138,800,1.3,0.02,False
l2,1.3000,33.4339,1000,1.3,0.02,False
l2,1.3000,33.4540,1200,1.3,0.02,False
l2,1.3000,33.4641,1600,1.3,0.02,False
l2,1.3500,37.1555,1600,1.35,0.02,False
l2,1.4000,38.4430,200,1.4,0.02,False
l2,1.4000,40.8268,400,1.4,0.02,False
