MNIST
FGSM, untargeted
dist, l2, asr, eps, target
l2,0.0220,0.0503,0.001,False
l2,0.0433,0.1106,0.002,False
l2,0.0649,0.1710,0.003,False
l2,0.0861,0.2213,0.004,False
l2,0.1077,0.2515,0.005,False
l2,0.1292,0.2615,0.006,False
l2,0.1397,0.2716,0.0065,False
l2,0.1461,0.2716,0.0068,False
l2,0.1482,0.2716,0.0069,False
l2,0.1503,0.2816,0.007,False
l2,0.1715,0.3219,0.008,False
l2,0.1925,0.3822,0.009,False
l2,0.2134,0.4124,0.01,False
l2,0.2558,0.5230,0.012,False
l2,0.2973,0.6337,0.014,False
l2,0.3073,0.6538,0.0145,False
l2,0.3135,0.6538,0.0148,False
l2,0.3155,0.6639,0.0149,False
l2,0.3176,0.6639,0.015,False
l2,0.3383,0.7041,0.016,False
l2,0.3796,0.7644,0.018,False
l2,0.4211,0.8650,0.02,False
l2,0.4415,0.9555,0.021,False
l2,0.4520,0.9757,0.0215,False
l2,0.4627,1.0360,0.022,False
l2,0.5043,1.1366,0.024,False
l2,0.5250,1.1768,0.025,False
l2,0.5458,1.1969,0.026,False
l2,0.5668,1.2372,0.027,False
l2,0.5876,1.2674,0.028,False
l2,0.5981,1.2774,0.0285,False
l2,0.6085,1.3076,0.029,False
l2,0.6295,1.3981,0.03,False
l2,0.7356,1.7602,0.035,False
l2,0.7463,1.7904,0.0355,False
l2,0.7570,1.8206,0.036,False
l2,0.7782,1.9111,0.037,False
l2,0.8410,2.1827,0.04,False
l2,0.8827,2.3034,0.042,False
l2,0.9038,2.3436,0.043,False
l2,0.9252,2.3939,0.044,False
l2,0.9456,2.4643,0.045,False
l2,1.0492,2.8566,0.05,False
l2,1.1542,3.4400,0.055,False
l2,1.1955,3.6914,0.057,False
l2,1.2164,3.8523,0.058,False
l2,1.2590,4.1541,0.06,False
l2,1.3225,4.5263,0.063,False
l2,1.3432,4.6570,0.064,False
l2,1.3538,4.7475,0.0645,False
l2,1.3647,4.8079,0.065,False
l2,1.3857,4.9286,0.066,False
l2,1.4069,5.0895,0.067,False
l2,1.4275,5.2505,0.068,False
l2,1.4698,5.5321,0.07,False
l2,1.4911,5.7131,0.071,False
l2,1.5119,5.8640,0.072,False
l2,1.5744,6.2865,0.075,False
l2,1.6374,6.7994,0.078,False
l2,1.6477,6.9000,0.0785,False
l2,1.6579,6.9805,0.079,False
l2,1.6789,7.1515,0.08,False
l2,1.7849,8.4591,0.085,False
l2,1.7955,8.5798,0.0855,False
l2,1.8017,8.6401,0.0858,False
l2,1.8059,8.6904,0.086,False
l2,1.8273,8.8614,0.087,False
l2,1.8915,9.7868,0.09,False
l2,1.9333,10.2193,0.092,False
l2,1.9541,10.4506,0.093,False
l2,1.9751,10.6618,0.094,False
l2,1.9964,10.8932,0.095,False
l2,2.1027,12.4422,0.1,False
l2,2.1027,12.4422,0.1,False
l2,2.2081,13.9710,0.105,False
l2,2.2496,14.5745,0.107,False
l2,2.2710,14.9266,0.108,False
l2,2.3134,15.6709,0.11,False
l2,2.3980,17.0690,0.114,False
l2,2.4191,17.4512,0.115,False
l2,2.5249,19.4931,0.12,False
l2,2.5249,19.4931,0.12,False
l2,2.5467,20.0060,0.121,False
l2,2.5675,20.3380,0.122,False
l2,2.5885,20.7604,0.123,False
l2,2.6307,21.5450,0.125,False
l2,2.6518,21.8668,0.126,False
l2,2.6942,22.5810,0.128,False
l2,2.7047,22.7620,0.1285,False
l2,2.7365,23.2348,0.13,False
l2,2.7784,23.9489,0.132,False
l2,2.8211,24.8441,0.134,False
l2,2.8421,25.2263,0.135,False
l2,2.8462,25.2867,0.1352,False
l2,2.8632,25.6890,0.136,False
l2,2.9059,26.3629,0.138,False
l2,2.9483,27.2983,0.14,False
l2,2.9483,27.2983,0.14,False
l2,2.9903,28.2036,0.142,False
l2,3.0011,28.3846,0.1425,False
l2,3.0119,28.6964,0.143,False
l2,3.1607,31.7341,0.15,False
l2,3.3740,36.6124,0.16,False
l2,3.3740,36.6124,0.16,False
l2,3.8004,46.0068,0.18,False
l2,4.2271,55.8841,0.2,False
l2,4.6560,65.3792,0.22,False
l2,5.0835,74.2607,0.24,False
l2,5.5105,81.4424,0.26,False
l2,5.9375,87.7087,0.28,False
l2,6.3616,91.8025,0.3,False
l2,6.7835,94.5383,0.32,False
l2,7.2030,96.2382,0.34,False
l2,7.6206,97.2239,0.36,False
l2,8.0360,97.6665,0.38,False
l2,8.4505,97.8877,0.4,False
l2,8.8644,98.1493,0.42,False
l2,9.2768,98.2498,0.44,False
l2,9.6882,98.3303,0.46,False
l2,10.0985,98.2800,0.48,False
l2,10.5079,98.1392,0.5,False
l2,12.5368,96.7914,0.6,False
l2,14.5414,95.1116,0.7,False
l2,16.5203,93.2006,0.8,False
l2,18.4655,91.4001,0.9,False
l2,20.3496,89.5393,1.0,False

MNIST
FGSM, targeted
dist, l2, asr, eps, target
l2,0.1067,0.0331,0.005,True
l2,0.1279,0.0331,0.006,True
l2,0.1500,0.0442,0.007,True
l2,0.1713,0.0442,0.008,True
l2,0.1925,0.0552,0.009,True
l2,0.1925,0.0552,0.009,True
l2,0.2141,0.0662,0.01,True
l2,0.2352,0.0662,0.011,True
l2,0.2785,0.0773,0.013,True
l2,0.2982,0.0883,0.014,True
l2,0.3191,0.0883,0.015,True
l2,0.3600,0.1214,0.017,True
l2,0.4018,0.1214,0.019,True
l2,0.4442,0.1435,0.021,True
l2,0.4484,0.1435,0.0212,True
l2,0.4525,0.1435,0.0214,True
l2,0.4857,0.1545,0.023,True
l2,0.5259,0.1987,0.025,True
l2,0.5672,0.2318,0.027,True
l2,0.5880,0.2318,0.028,True
l2,0.5987,0.2429,0.0285,True
l2,0.6083,0.2539,0.029,True
l2,0.6499,0.2539,0.031,True
l2,0.6914,0.2539,0.033,True
l2,0.7330,0.2539,0.035,True
l2,0.7456,0.2760,0.0355,True
l2,0.7560,0.2760,0.036,True
l2,0.7766,0.2870,0.037,True
l2,0.8386,0.3422,0.04,True
l2,0.8800,0.3643,0.042,True
l2,0.9006,0.3753,0.043,True
l2,0.9446,0.4195,0.045,True
l2,0.9867,0.4305,0.047,True
l2,1.0504,0.4857,0.05,True
l2,1.1533,0.5630,0.055,True
l2,1.1728,0.5961,0.056,True
l2,1.1939,0.6071,0.057,True
l2,1.2560,0.6402,0.06,True
l2,1.3279,0.6844,0.0635,True
l2,1.3383,0.6844,0.064,True
l2,1.3494,0.6954,0.0645,True
l2,1.3597,0.6954,0.065,True
l2,1.4649,0.8279,0.07,True
l2,1.4855,0.8500,0.071,True
l2,1.4955,0.8610,0.0715,True
l2,1.5058,0.8721,0.072,True
l2,1.5683,0.9604,0.075,True
l2,1.6106,1.0266,0.077,True
